var1,var2,var3
0.11915557734285787,-0.158637497753504,0.15624686864366255
-0.09732501200602985,,-0.1775413167039082
,,0.08734999329670633
0.08442227439533417,0.14250334181441654,
,,-0.052026578533974424
,-0.034700972318368065,
-0.11660973377570803,,
-0.0208422229626488,,-0.0030307059875553204
-0.0320370191743731,0.1029748175592344,0.051611162528491086
-0.059560073535706026,,0.03870366450711237
,0.01841281612500366,
,,0.020267175351185072
0.12395784377946353,-0.04284863139626583,
0.07338666934293041,,
,-0.03904883370917352,0.12181376460022234
