Stock,Expiration,Type,Strike,Last Price
AAPL,12/15/2023,Call,140,30.95
AAPL,12/15/2023,Call,145,26.74
AAPL,12/15/2023,Call,150,22.8
AAPL,12/15/2023,Call,155,18.4
AAPL,12/15/2023,Call,160,14.15
AAPL,12/15/2023,Call,165,10.55
AAPL,12/15/2023,Call,170,7.21
AAPL,12/15/2023,Call,175,4.63
AAPL,12/15/2023,Call,180,2.67
AAPL,12/15/2023,Call,185,1.4
AAPL,12/15/2023,Call,190,0.69
AAPL,12/15/2023,Put,140,0.61
AAPL,12/15/2023,Put,145,0.92
AAPL,12/15/2023,Put,150,1.36
AAPL,12/15/2023,Put,155,2
AAPL,12/15/2023,Put,160,2.99
AAPL,12/15/2023,Put,165,4.32
AAPL,12/15/2023,Put,170,6.16
AAPL,12/15/2023,Put,175,8.68
AAPL,12/15/2023,Put,180,11.83
AAPL,12/15/2023,Put,185,15.3
AAPL,12/15/2023,Put,190,20.16
